Ticket #,Type,Open Date,Summary of the Request,Client,Status,Priority,Rank,Res. Assignee,SLA Start,Projected Violation,Change Order,Chg Ord Status,SBM Status,Violation Date,Resource Grp,Client View,Close Date,CS Group,External Ticket,Area,Resolution Code
22771,Incident,5/3/2013 9:53,"When you do a search for CBK items, the standard URL comes up in Google but so does the hidden ashprd url.","Curry, Mike ",Closed,P3,,"Murack, David ",5/14/2013 12:56,,,,,,v11 CBK Launch Team,NO,7/22/2013 15:46,CBK.TAM,,"v11.Webanalytics.Referrals, Searches, Sessions and Visitors",
22757,Incident,5/3/2013 7:11,CJBUS/CBKUS - Socket Connection Resets Causing Gomez Hits,SysOps,Closed,P2,,"Jadhav, Sameer ",5/6/2013 0:00,,,,,,v11 CBK Launch Team,NO,5/6/2013 11:41,,,v11.Storefront Related Issues.WebStore Display,
22729,Incident,5/2/2013 19:39,DW Data Clean up in Production,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,6/27/2013 16:08,CBK.TAM,,v11.Feeds Related Issues.Data Warehouse,
22718,Incident,5/2/2013 16:27,(JDA) CBKNAQA-3194  christopherandbanks.com Important notice about your order # 0003600003580601,Christopher and Banks,Closed,P3,,"Felix, Chris ",,,,,,,v11 CBK Launch Team,NO,6/24/2013 10:57,CBK.TAM,,v11.Order Processing Related Issues.Order Flow,
22715,Incident,5/2/2013 16:14,(OMS) OMS is sending multiple returns that total more than the amount authed/settled for the order.  VPRS-14781.,Christopher and Banks,Closed,P1,,"Thota, Rajashekar ",,,,,Change is Live,,v11 CBK Launch Team,NO,5/7/2013 9:49,CBK.TAM,,v11.Order Processing Related Issues.Order Flow,
22708,Incident,5/2/2013 15:49,"CBKNAQA-3299 CBKUS/CJBUS - ""contact us"" webforms",CS Clothing,Closed,P2,,"Jadhav, Sameer ",,,,,Change is Live,,v11 CBK Launch Team,NO,5/18/2013 21:05,Clothing.Client Services Ops,,v11.Storefront Related Issues.WebStore Navigation,
22707,Incident,5/2/2013 15:43,(JDA) CBKNAQA-3202 / VPRS-14718 Inventory in JDA is doubled for return putaway transactions on v11 returns,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/7/2013 12:08,CBK.TAM,,v11.Order Processing Related Issues.Order Flow,
22697,Incident,5/2/2013 14:56,CBKNAQA-3232 ConsumerGroup Lookup SQL Executing excessive number of times,Christopher and Banks,Closed,P3,,"Murack, David ",5/6/2013 13:34,,,,,,v11 CBK Launch Team,NO,5/25/2013 16:39,,,v11.GSI Manager.Mass Data Tasks,
22689,Request,5/2/2013 14:38,Clearsaleing naming convention on ftp needs to change so that they can pick the file up   Jira - 3192,Christopher and Banks,Closed,P1,,"Sell, Stephanie ",,,,,QA Passed,,v11 CBK Launch Team,NO,5/3/2013 9:37,CBK.TAM,,v11.Feeds Related Issues.Data Warehouse,
22681,Incident,5/2/2013 13:34,CBKNAQA-3190 AOS site is not adjusting properly to the 800x600 screen resolution causing the stores to scroll left to right. ,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/15/2013 13:40,CBK.TAM,,v11.Call Center Related Issues.AOS,
