Aris,App.Name,Region,Geographical.Region,Client.Countries,Bus.Area,Functional.Group,Remedy.Support.Queue,Service.entitlement,App.Size,Average.Monthly.Ticket.Volume.Incidents,Average.Monthly.Ticket.Volume..P1,Average.Monthly.Ticket.Volume.P2,Average.Monthly.Ticket.Volume.P3,Average.Monthly.Ticket.Volume.P4,Average.Monthly.Ticket.Volume.Problems,Average.Monthly.Ticket.Volume.CRs,Approx.Number.of.Users,Application.Complexity,Ease.of.Transition,Platform.OS.Type,Database.Type,Comments,Average.MOnthly.Ticket.Volume.Incidents,App.Score,groups
EU-1350,PCE EU-1350,Europe,Europe,United Kingdom,Sell to Customer,Front Office,KFE UK Ireland Cross-functional Appl Support,Bronze,large,60,NA,2,50,NA,50,8,255,High,,AIX,SQL Server 9.00.5057.00,Based on Remedy 3 month data (Currently supported by Infosys),60,0.205542942,4
AP-736,NAVIGATOR AP-736,Asia Pacific,Asia Pacific,Australia,Sell to Customer,,AP Australia Appl Support,Silver,large,76,NA,NA,NA,NA,NA,,300,High,,Windows Server,SQL Server 2012 SP1,,76,0.306299287,8
EU-3090,Fleet Management EU-3090,EEMEA,EEMEA,Nigeria,Corporate Services,Corporate Functions,CEEMA Nigeria On-site,Bronze,large,0,NA,NA,NA,1,NA,,3,High,,Windows Server,SQL Server 2005,,0,0,2
AP-505,PARADIGM II AP-505,Asia Pacific,Asia Pacific,"Australia, New Zealand",Material to Inventory,,AP Australia Appl Support,Bronze,large,0,NA,NA,NA,NA,NA,,10,High,,Windows Server,n/a,,0,0,1
EU-1095,FAMM EU-1095,EEMEA,EEMEA,Ukraine,Record to Report,Corporate Functions,CEEMA Ukraine Kyiv NM On-site,Bronze,small,0.1,NA,NA,0.1,NA,NA,0.1,4,Low,,"Desktop
",Desktop - Windows 7,,0.1,1.79E-06,2
AP-482,NAB ONLINE AP-482,Asia Pacific,Asia Pacific,Australia,Record to Report,,AP Australia Appl Support,Bronze,small,0.3,NA,NA,NA,0.3,NA,,5,Low,,"Desktop
",Desktop - Windows 7,,0.3,6.72E-06,2
AP-149,NZPCBANK AP-149,Asia Pacific,Asia Pacific,Australia,Record to Report,,AP Australia Appl Support,Bronze,small,0.5,NA,0.3,NA,0.5,NA,,5,Low,,"Desktop
",,,0.5,1.12E-05,2
AP-298,BNZ PC BANKING AP-298,Asia Pacific,Asia Pacific,Australia,Record to Report,,AP Australia Appl Support,Bronze,small,0.5,NA,NA,NA,0.5,NA,,5,Low,,"Desktop
",Desktop - Windows 7,,0.5,1.12E-05,2
AP-092,CHEPMATE AP-092,Asia Pacific,Asia Pacific,Australia,Material to Inventory,,AP Australia Appl Support,Bronze,small,1,NA,NA,NA,1,NA,0.1,10,Low,,Windows Server,,,1,4.48E-05,1
AP-746,Artwork AP-746,Asia Pacific,Asia Pacific,China,Market to Consumer,Front Office,AP China Application Support,Silver,small,1,NA,NA,NA,1,3, 1,200,Low,,Windows Server,"SQl 2008 
",,1,0.000895612,8
